cas_rn,chemical_name,fraction,result_unit
TVS,TOTAL VOLATILE SOLIDS,NA,mg/l
TSO,TOTAL SOLIDS,NA,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,mg/l
PH,PH,NA,ph units
HARD,HARDNESS (AS CACO3),T,mg/l
SC,SPECIFIC CONDUCTANCE,NA,umhos/cm
FECCOLIFORM,FECAL COLIFORM,NA,cfu/100ml
COLIF,COLIFORM,NA,cfu/100ml
TSS,TOTAL SUSPENDED SOLIDS,NA,mg/l
TEMP,TEMPERATURE,NA,deg c
DISS_OXYGEN,DISSOLVED OXYGEN,NA,mg/l
TOC,TOTAL ORGANIC CARBON,T,mg/l
TOC,TOTAL ORGANIC CARBON,D,mg/l
14265-44-2,PHOSPHATE ION,NA,mg/l
7723-14-0,PHOSPHORUS,NA,mg/l
NO3NO2N,"NITROGEN, NITRATE-NITRITE",NA,mg/l
14797-55-8,"NITROGEN, NITRATE (AS N)",NA,mg/l
KN,"NITROGEN, KJELDAHL, TOTAL",NA,mg/l
7664-41-7,"NITROGEN, AMMONIA (AS N)",T,mg/l
ALK,"ALKALINITY, TOTAL (AS CACO3)",NA,mg/l
16887-00-6,CHLORIDE (AS CL),T,mg/l
14808-79-8,SULFATE (AS SO4),T,mg/l
7439-92-1,LEAD,T,ug/l
7440-02-0,NICKEL,T,ug/l
7440-50-8,COPPER,T,ug/l
7439-92-1,LEAD,D,ug/l
7440-02-0,NICKEL,D,ug/l
7440-50-8,COPPER,D,ug/l
7429-90-5,ALUMINUM,T,ug/l
7439-89-6,IRON,T,ug/l
7439-95-4,MAGNESIUM,T,mg/l
7439-96-5,MANGANESE,T,ug/l
7440-09-7,POTASSIUM,T,mg/l
7440-23-5,SODIUM,T,mg/l
7440-66-6,ZINC,T,ug/l
7440-70-2,CALCIUM,T,mg/l
TURB,TURBIDITY,NA,ntu
14797-65-0,"NITROGEN, NITRITE",NA,mg/l
16984-48-8,FLUORIDE,T,mg/l
7429-90-5,ALUMINUM,D,ug/l
7440-43-9,CADMIUM,T,ug/l
7439-97-6,MERCURY,T,ug/l
7440-43-9,CADMIUM,D,ug/l
74-87-3,CHLOROMETHANE,T,ug/l
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",NA,mg/l
75-27-4,BROMODICHLOROMETHANE,T,ug/l
67-66-3,CHLOROFORM,T,ug/l
7440-22-4,SILVER,T,ug/l
7440-38-2,ARSENIC,T,ug/l
14265-44-2,PHOSPHATE ION,T,mg/l
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l
NO3NO2N,"NITROGEN, NITRATE-NITRITE",T,mg/l
7727-37-9,NITROGEN,T,mg/l
KN,"NITROGEN, KJELDAHL, TOTAL",T,mg/l
SC,SPECIFIC CONDUCTANCE,T,umhos/cm
7723-14-0,PHOSPHORUS,T,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,mg/l
TSS,TOTAL SUSPENDED SOLIDS,T,mg/l
TVS,TOTAL VOLATILE SOLIDS,T,mg/l
TSO,TOTAL SOLIDS,T,mg/l
PH,PH,T,ph units
PHWATER,PH (WATER),T,ph units
14797-55-8,"NITROGEN, NITRATE (AS N)",T,mg/l
14797-65-0,"NITROGEN, NITRITE",T,mg/l
COLIF,COLIFORM,T,cfu/100ml
FECCOLIFORM,FECAL COLIFORM,T,cfu/100ml
127-18-4,TETRACHLOROETHYLENE (PCE),T,ug/l
79-01-6,TRICHLOROETHYLENE (TCE),T,ug/l
SC,SPECIFIC CONDUCTANCE,D,umhos/cm
TURB,TURBIDITY,T,ntu
TEMP,TEMPERATURE,T,deg c
DISS_OXYGEN,DISSOLVED OXYGEN,T,mg/l
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",T,mg/l
