"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","alkalinity, total (as caco3)",2021-04-14 11:45:00,"ALK","T",13.3,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","aluminum",2021-04-14 11:45:00,"7429-90-5","D",18.3,"ug/l","E200.8",2.3,"ug/l",10,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","arsenic",2021-04-14 11:45:00,"7440-38-2","T",NA,"ug/l","E200.8",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","cadmium",2021-04-14 11:45:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","calcium",2021-04-14 11:45:00,"7440-70-2","T",5780,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","carbon, dissolved organic (doc)",2021-04-14 11:45:00,"DOC","D",3.2,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","chloride (as cl)",2021-04-14 11:45:00,"16887-00-6","T",16.3,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","chlorophyll a",2021-04-14 11:45:00,"479-61-8","T",4.22,"ug/l","SM10200H",NA,"ug/l",0.15,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","copper",2021-04-14 11:45:00,"7440-50-8","D",2.1,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","fluoride, undistilled",2021-04-14 11:45:00,"16984-48-8","T",NA,"mg/l","E300.0",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","hardness (as caco3)",2021-04-14 11:45:00,"HARD","T",18.9,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","iron",2021-04-14 11:45:00,"7439-89-6","T",122,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","lead",2021-04-14 11:45:00,"7439-92-1","D",NA,"ug/l","E200.8",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","magnesium",2021-04-14 11:45:00,"7439-95-4","T",1080,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","manganese",2021-04-14 11:45:00,"7439-96-5","T",33.5,"ug/l","E200.7",1.7,"ug/l",10,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103522","mercury",2021-04-14 11:45:00,"7439-97-6","T",1.8,"ng/l","E1631E",0.3,"ng/l",1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nickel",2021-04-14 11:45:00,"7440-02-0","D",0.38,"ug/l","E200.8",0.26,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrate+nitrite as nitrogen",2021-04-14 11:45:00,"NO3NO2N","T",0.149,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrogen",2021-04-14 11:45:00,"7727-37-9","T",0.37,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrogen, ammonia (as n)",2021-04-14 11:45:00,"7664-41-7","T",NA,"mg/l","E350.1",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrogen, kjeldahl, total",2021-04-14 11:45:00,"KN","T",0.22,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrogen, nitrate (as n)",2021-04-14 11:45:00,"14797-55-8","T",0.149,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","nitrogen, nitrite",2021-04-14 11:45:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","orthophosphate as phosphorus, dissolved",2021-04-14 11:45:00,"PDORTHO","D",NA,"mg/l","E365.1",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","phosphorus, total (as p)",2021-04-14 11:45:00,"7723-14-0","T",0.0137,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","potassium",2021-04-14 11:45:00,"7440-09-7","T",700,"ug/l","E200.7",180,"ug/l",2000,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","silver",2021-04-14 11:45:00,"7440-22-4","T",NA,"ug/l","E200.8",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","sodium",2021-04-14 11:45:00,"7440-23-5","T",9630,"ug/l","E200.7",100,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","sulfate (as so4)",2021-04-14 11:45:00,"14808-79-8","T",4.17,"mg/l","E300.0",0.04,"mg/l",0.2,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","total dissolved solids (residue, filterable)",2021-04-14 11:45:00,"TDS","T",47,"mg/l","SM2540C",9,"mg/l",10,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","turbidity",2021-04-14 11:45:00,"TURB","T",2.1,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-04142021-W","R2103521","zinc",2021-04-14 11:45:00,"7440-66-6","D",4,"ug/l","E200.8",2.5,"ug/l",5,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","alkalinity, total (as caco3)",2021-06-16 10:45:00,"ALK","T",16.7,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","aluminum",2021-06-16 10:45:00,"7429-90-5","D",11.4,"ug/l","E200.8",7.6,"ug/l",10,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","arsenic",2021-06-16 10:45:00,"7440-38-2","T",0.47,"ug/l","E200.8",0.32,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","cadmium",2021-06-16 10:45:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","calcium",2021-06-16 10:45:00,"7440-70-2","T",7130,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","carbon, dissolved organic (doc)",2021-06-16 10:45:00,"DOC","D",3,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","chloride (as cl)",2021-06-16 10:45:00,"16887-00-6","T",15.9,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","chlorophyll a",2021-06-16 10:45:00,"479-61-8","T",0.097,"ug/l","SM10200H",NA,"ug/l",0.038,"","A","",2022-02-17
"ROUTINE-R3","14-DELA-1.3","N","14-DELA-1.3-06162021-W","R2105983","copper",2021-06-16 10:45:00,"7440-50-8","D",0.82,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
