"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","alkalinity, total (as caco3)",2021-05-27 11:45:00,"ALK","T",170,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","aluminum",2021-05-27 11:45:00,"7429-90-5","T",NA,"ug/l","E200.8",7.6,"ug/l",10,"U","U","Analyte was analyzed for but not detected",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","arsenic",2021-05-27 11:45:00,"7440-38-2","T",0.47,"ug/l","E200.8",0.32,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","cadmium",2021-05-27 11:45:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","calcium",2021-05-27 11:45:00,"7440-70-2","T",62600,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","carbon, dissolved organic (doc)",2021-05-27 11:45:00,"DOC","D",3,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","chloride (as cl)",2021-05-27 11:45:00,"16887-00-6","T",37,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","chlorophyll a",2021-05-27 11:45:00,"479-61-8","T",4.43,"ug/l","SM10200H",NA,"ug/l",0.15,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","copper",2021-05-27 11:45:00,"7440-50-8","T",0.91,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","fluoride, undistilled",2021-05-27 11:45:00,"16984-48-8","T",NA,"mg/l","E300.0",0.01,"mg/l",0.1,"U","R","Analyte was analyzed for but not detected ; Accuracy error",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","hardness (as caco3)",2021-05-27 11:45:00,"HARD","T",208,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","iron",2021-05-27 11:45:00,"7439-89-6","T",132,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","lead",2021-05-27 11:45:00,"7439-92-1","T",NA,"ug/l","E200.8",0.19,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","magnesium",2021-05-27 11:45:00,"7439-95-4","T",12400,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","manganese",2021-05-27 11:45:00,"7439-96-5","T",33.1,"ug/l","E200.7",1.7,"ug/l",10,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105210","mercury",2021-05-27 11:45:00,"7439-97-6","T",0.9,"ng/l","E1631E",0.3,"ng/l",1,"J","J","estimated value due to lab error",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nickel",2021-05-27 11:45:00,"7440-02-0","T",0.93,"ug/l","E200.8",0.46,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrate+nitrite as nitrogen",2021-05-27 11:45:00,"NO3NO2N","T",1.65,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrogen",2021-05-27 11:45:00,"7727-37-9","T",2.01,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrogen, ammonia (as n)",2021-05-27 11:45:00,"7664-41-7","T",0.018,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrogen, kjeldahl, total",2021-05-27 11:45:00,"KN","T",0.36,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrogen, nitrate (as n)",2021-05-27 11:45:00,"14797-55-8","T",1.64,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","nitrogen, nitrite",2021-05-27 11:45:00,"14797-65-0","T",0.016,"mg/l","E353.2",0.007,"mg/l",0.01,"","A","",2022-02-17
"PWS","04-OATK-53.0","N","04-OATK-53.0-05272021-W","R2105176","orthophosphate as phosphorus, dissolved",2021-05-27 11:45:00,"PDORTHO","D",NA,"mg/l","E365.1",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",2022-02-17
